ob_code,obj_id,ra,dec,equinox,exptime,priority,resolution
obj51_eet1200,108720027253840419,2.725391,0.600005,J2000,1200,5,L
obj52_eet1800,108790022222608872,2.222301,0.665353,J2000,1800,8,L
obj53_eet1800,107280019366085513,1.936614,-0.595803,J2000,1800,4,L
obj54_eet1800,107350016584676170,1.658523,-0.536904,J2000,1800,7,L
obj55_eet1800,108830024898909778,2.489905,0.699382,J2000,1800,9,L
obj56_eet1800,108580025954744729,2.595358,0.487129,J2000,1800,8,L
obj57_eet1800,107180019591046956,1.959095,-0.677874,J2000,1800,2,L
obj58_eet1800,107280019643210127,1.964294,-0.600251,J2000,1800,8,L
obj59_eet1800,107330024159260654,2.415977,-0.558165,J2000,1800,4,L
obj60_eet1800,107340023606563679,2.360664,-0.5474,J2000,1800,9,L
obj61_eet1800,107340022638480860,2.263875,-0.549688,J2000,1800,5,L
obj62_eet1800,107310021898617028,2.189861,-0.569557,J2000,1800,7,L
obj63_eet1800,107280022436672809,2.243626,-0.598176,J2000,1800,9,L
obj64_eet1800,107250027113636177,2.711405,-0.620248,J2000,1800,1,L
obj65_eet1200,107330017460205179,1.746,-0.554447,J2000,1200,7,L
obj66_eet1800,107270022619714936,2.262009,-0.604613,J2000,1800,8,L
obj67_eet1200,108870024007944312,2.400842,0.728194,J2000,1200,3,L
obj68_eet1800,107280018330265662,1.832947,-0.595672,J2000,1800,9,L
obj69_eet1800,107290027009668435,2.701061,-0.584977,J2000,1800,6,L
obj70_eet1800,107290020723082295,2.072369,-0.590113,J2000,1800,3,L
obj71_eet1800,107270023744350387,2.374475,-0.608418,J2000,1800,1,L
obj72_eet1800,107290022846303149,2.284712,-0.589486,J2000,1800,5,L
obj73_eet1800,107270027404969182,2.740523,-0.601055,J2000,1800,9,L
obj74_eet1200,107380017041721601,1.704211,-0.515756,J2000,1200,9,L
obj75_eet1800,107120024116961131,2.411746,-0.732694,J2000,1800,8,L
obj76_eet1800,107260021982395682,2.198275,-0.612348,J2000,1800,3,L
obj77_eet1800,107090023778967816,2.377953,-0.752174,J2000,1800,5,L
obj78_eet1800,107250025209089847,2.521012,-0.617075,J2000,1800,3,L
obj79_eet1200,107220025813401064,2.58135,-0.649486,J2000,1200,7,L
obj80_eet1800,107460028329776129,2.833095,-0.445266,J2000,1800,3,L
obj81_eet1800,107080024825239213,2.482601,-0.75919,J2000,1800,1,L
obj82_eet1800,107460022035203035,2.203553,-0.447853,J2000,1800,8,L
obj83_eet1800,107460024127748899,2.412857,-0.44293,J2000,1800,5,L
obj84_eet1800,107390020351502151,2.035264,-0.506888,J2000,1800,4,L
obj85_eet1800,107440026061612023,2.606261,-0.465252,J2000,1800,5,L
obj86_eet1200,108940022538726385,2.253933,0.788279,J2000,1200,1,L
obj87_eet1200,107430026779442656,2.677955,-0.473161,J2000,1200,7,L
obj88_eet1800,107470020679214774,2.068002,-0.437978,J2000,1800,9,L
obj89_eet1800,107440018700570827,1.870056,-0.466374,J2000,1800,2,L
obj90_eet1200,107450026074409244,2.607244,-0.451036,J2000,1200,6,L
obj91_eet1800,107230021681307131,2.168168,-0.636114,J2000,1800,8,L
obj92_eet1800,107440028112755064,2.811487,-0.462783,J2000,1800,9,L
obj93_eet1800,107280020633618393,2.063416,-0.593535,J2000,1800,6,L
obj94_eet1800,107400021723020728,2.172352,-0.499717,J2000,1800,8,L
obj95_eet1800,107440022169037118,2.216929,-0.461092,J2000,1800,6,L
obj96_eet1800,107440024712663803,2.471324,-0.463834,J2000,1800,4,L
obj97_eet1800,107420027367031899,2.736723,-0.482112,J2000,1800,4,L
obj98_eet1200,107410020711760244,2.071024,-0.49193,J2000,1200,7,L
obj99_eet1800,107430020765978908,2.076652,-0.468011,J2000,1800,3,L
obj100_eet1800,107420017875749835,1.787436,-0.475525,J2000,1800,8,L
obj101_eet1800,107220023937231113,2.393719,-0.649192,J2000,1800,6,L
obj102_eet1800,107400020385693342,2.038404,-0.497664,J2000,1800,5,L
obj103_eet1800,107360019869281419,1.986976,-0.532536,J2000,1800,3,L
obj104_eet1800,107400023284893787,2.328513,-0.49722,J2000,1800,4,L
obj105_eet1800,107430018239016704,1.823887,-0.469837,J2000,1800,6,L
obj106_eet1800,107400027636917145,2.763603,-0.494415,J2000,1800,2,L
obj107_eet1800,107200020161517375,2.016163,-0.660869,J2000,1800,2,L
obj108_eet1800,107410022897030348,2.289739,-0.491741,J2000,1800,5,L
obj109_eet1800,107500026720773746,2.672089,-0.413908,J2000,1800,5,L
obj110_eet1200,107390023706770234,2.370701,-0.508501,J2000,1200,3,L
obj111_eet1800,107400020996833690,2.099638,-0.497152,J2000,1800,4,L
obj112_eet1800,107230021052130757,2.105244,-0.64147,J2000,1800,4,L
obj113_eet1800,107150026151361442,2.615144,-0.707511,J2000,1800,2,L
obj114_eet1800,107290018369035412,1.836849,-0.587538,J2000,1800,3,L
obj115_eet1800,107400026925834923,2.692607,-0.496251,J2000,1800,2,L
obj116_eet1800,107360018875932155,1.887514,-0.531825,J2000,1800,5,L
obj117_eet1800,107570017896015229,1.789657,-0.354303,J2000,1800,5,L
obj118_eet1800,107390027218842458,2.721912,-0.506567,J2000,1800,4,L
obj119_eet1800,107570018431982413,1.843253,-0.356873,J2000,1800,1,L
obj120_eet1800,107490021886083528,2.188657,-0.42245,J2000,1800,7,L
obj121_eet1200,107570016177387144,1.61779,-0.352712,J2000,1200,2,L
obj122_eet1800,107570016222245907,1.622274,-0.353732,J2000,1800,5,L
obj123_eet1800,107370022458207626,2.245671,-0.519381,J2000,1800,5,L
obj124_eet1800,107490028325824523,2.832797,-0.421436,J2000,1800,6,L
obj125_eet1800,107340021363905297,2.136557,-0.546035,J2000,1800,3,L
obj126_eet1800,107570018179680542,1.817947,-0.358266,J2000,1800,4,L
obj127_eet1800,107490024136925678,2.413737,-0.420625,J2000,1800,5,L
obj128_eet1800,107540020610169509,2.061098,-0.375785,J2000,1800,1,L
obj129_eet1800,107330018889226230,1.888975,-0.55354,J2000,1800,3,L
obj130_eet1800,107460019547776014,1.954865,-0.44525,J2000,1800,7,L
obj131_eet1800,107500016462129422,1.646274,-0.40916,J2000,1800,3,L
obj132_eet1800,107520025496392629,2.549704,-0.398182,J2000,1800,3,L
obj133_eet1800,107520018600895078,1.860096,-0.396187,J2000,1800,1,L
obj134_eet1800,107500024551153376,2.455177,-0.414255,J2000,1800,9,L
obj135_eet1800,107540026960832882,2.696155,-0.381437,J2000,1800,3,L
obj136_eet1800,107480024768423254,2.476905,-0.430966,J2000,1800,9,L
obj137_eet1800,107560020526004153,2.052656,-0.36357,J2000,1800,7,L
obj138_eet1800,107350017518917185,1.75196,-0.536073,J2000,1800,4,L
obj139_eet1800,107520018060556871,1.806161,-0.394799,J2000,1800,6,L
obj140_eet1800,107330016849127451,1.684972,-0.55243,J2000,1800,7,L
obj141_eet1800,107510026341825542,2.634172,-0.404045,J2000,1800,9,L
obj142_eet1800,107320023683153587,2.368341,-0.564051,J2000,1800,1,L
obj143_eet1200,107520021935854392,2.193647,-0.396723,J2000,1200,5,L
obj144_eet1800,107520016662787773,1.666314,-0.393862,J2000,1800,6,L
obj145_eet1800,107490017447462676,1.74477,-0.423138,J2000,1800,9,L
obj146_eet1200,107280027552455803,2.755276,-0.595541,J2000,1200,5,L
obj147_eet1200,107500021613769565,2.161458,-0.409076,J2000,1200,2,L
obj148_eet1800,107560019289834318,1.929016,-0.363488,J2000,1800,3,L
obj149_eet1800,107480017739666134,1.77401,-0.428754,J2000,1800,9,L
obj150_eet1200,107600018621120888,1.862116,-0.332992,J2000,1200,1,L
obj151_eet1800,107600018756552983,1.875657,-0.331247,J2000,1800,5,L
obj152_eet1800,107620024994875333,2.499567,-0.312572,J2000,1800,9,L
obj153_eet1200,107590018359471797,1.83608,-0.340485,J2000,1200,8,L
obj154_eet1800,107620025359806468,2.53604,-0.31166,J2000,1800,7,L
obj155_eet1800,107630026999460369,2.699978,-0.308385,J2000,1800,7,L
obj156_eet1800,107440020316382008,2.031694,-0.465364,J2000,1800,7,L
obj157_eet1800,107410017683972493,1.768339,-0.490022,J2000,1800,9,L
obj158_eet1200,107590018438557215,1.843854,-0.336049,J2000,1200,2,L
obj159_eet1800,107550024628780279,2.46298,-0.375118,J2000,1800,6,L
obj160_eet1200,107530022991681544,2.299201,-0.390793,J2000,1200,3,L
obj161_eet1800,107660020242834765,2.024402,-0.279774,J2000,1800,2,L
obj162_eet1800,107660020380439923,2.038132,-0.27545,J2000,1800,8,L
obj163_eet1200,107550025922184839,2.592236,-0.371338,J2000,1200,4,L
obj164_eet1200,107650026827060517,2.682713,-0.291581,J2000,1200,3,L
obj165_eet1800,107660016627944478,1.662841,-0.279952,J2000,1800,4,L
obj166_eet1200,107420021254115137,2.125517,-0.479528,J2000,1200,2,L
obj167_eet1200,107670026054825509,2.605456,-0.270957,J2000,1200,1,L
obj168_eet1800,107710018525749236,1.852725,-0.23424,J2000,1800,3,L
obj169_eet1800,107400027496823270,2.749741,-0.49757,J2000,1800,7,L
obj170_eet1800,107400027497323642,2.749774,-0.49747,J2000,1800,9,L
obj171_eet1200,107400027558637491,2.755871,-0.49407,J2000,1200,4,L
obj172_eet1200,107650022039314606,2.204019,-0.288396,J2000,1200,3,L
obj173_eet1800,107600021982344081,2.198274,-0.33033,J2000,1800,2,L
obj174_eet1800,107390022930860711,2.293104,-0.508136,J2000,1800,7,L
obj175_eet1800,107580020570316304,2.057124,-0.345142,J2000,1800,2,L
obj176_eet1200,107630026195709356,2.619547,-0.300909,J2000,1200,7,L
obj177_eet1800,107580019722644331,1.97222,-0.346877,J2000,1800,6,L
obj178_eet1200,107580019728693141,1.972897,-0.347789,J2000,1200,4,L
obj179_eet1200,107620027320761811,2.732109,-0.31551,J2000,1200,2,L
obj180_eet1800,107630029210837975,2.921161,-0.302089,J2000,1800,6,L
obj181_eet1800,107610024651953805,2.465253,-0.322175,J2000,1800,9,L
obj182_eet1800,107590026818366548,2.681836,-0.336554,J2000,1800,7,L
obj183_eet1200,107570024134861931,2.413553,-0.357096,J2000,1200,4,L
obj184_eet1200,107620016578246264,1.657892,-0.311774,J2000,1200,6,L
obj185_eet1800,107680022800421035,2.279958,-0.266095,J2000,1800,7,L
obj186_eet1800,107540016780951986,1.678133,-0.382015,J2000,1800,4,L
obj187_eet1800,107720023236775534,2.323718,-0.229111,J2000,1800,9,L
obj188_eet1800,107680026119460725,2.611962,-0.266428,J2000,1800,1,L
obj189_eet1800,107530017071627223,1.707196,-0.385987,J2000,1800,3,L
obj190_eet1800,107670029314349672,2.931438,-0.267572,J2000,1800,6,L
obj191_eet1800,107610023394382202,2.339461,-0.323559,J2000,1800,1,L
obj192_eet1800,107590029602103226,2.960304,-0.339353,J2000,1800,9,L
obj193_eet1800,107670019599063737,1.959857,-0.272203,J2000,1800,9,L
obj194_eet1800,107680015203100827,1.520377,-0.266361,J2000,1800,4,L
obj195_eet1800,107660026995888811,2.69961,-0.276343,J2000,1800,1,L
obj196_eet1800,107740020080688068,2.008147,-0.210337,J2000,1800,1,L
obj197_eet1800,107760020669302791,2.067033,-0.198067,J2000,1800,3,L
obj198_eet1800,107730027798204115,2.779823,-0.221935,J2000,1800,6,L
obj199_eet1800,107520020833477233,2.083269,-0.394332,J2000,1800,5,L
obj200_eet1200,107730019841903566,1.984258,-0.222394,J2000,1200,6,L
obj201_eet1800,107740015657978050,1.565925,-0.210423,J2000,1800,1,L
obj202_eet1800,107730028630970255,2.863171,-0.225208,J2000,1800,9,L
obj203_eet1800,107860023828954709,2.382961,-0.113127,J2000,1800,3,L
obj204_eet1200,107720028335163235,2.833592,-0.230998,J2000,1200,5,L
obj205_eet1200,107630016258297236,1.625878,-0.30263,J2000,1200,9,L
obj206_eet1800,107750021387925833,2.138856,-0.203836,J2000,1800,5,L
obj207_eet1200,107890028389652689,2.838971,-0.089825,J2000,1200,8,L
obj208_eet1800,107480026684748359,2.668508,-0.426735,J2000,1800,5,L
obj209_eet1800,107550015619108522,1.561953,-0.36825,J2000,1800,2,L
obj210_eet1800,107510019638508098,1.963877,-0.401966,J2000,1800,4,L
obj211_eet1800,107720027094072879,2.70938,-0.231317,J2000,1800,6,L
obj212_eet1800,107700027728585610,2.772862,-0.245722,J2000,1800,5,L
obj213_eet1800,107890029500875868,2.950107,-0.087165,J2000,1800,3,L
obj214_eet1800,107890029538254811,2.953847,-0.088034,J2000,1800,3,L
obj215_eet1800,107580024210847148,2.421146,-0.344424,J2000,1800,9,L
obj216_eet1800,107750029775227006,2.977572,-0.20287,J2000,1800,1,L
obj217_eet1800,107730015744734277,1.57449,-0.221768,J2000,1800,1,L
obj218_eet1800,107580028562712005,2.856563,-0.348892,J2000,1800,1,L
obj219_eet1800,107660015840891724,1.58415,-0.282227,J2000,1800,4,L
obj220_eet1200,107410018116446669,1.811704,-0.486399,J2000,1200,2,L
obj221_eet1800,107800028930820685,2.892929,-0.166466,J2000,1800,8,L
obj222_eet1800,107700016389292577,1.638978,-0.248151,J2000,1800,1,L
obj223_eet1800,107640026156520171,2.615759,-0.300545,J2000,1800,9,L
obj224_eet1800,107650028708546567,2.870933,-0.286559,J2000,1800,9,L
obj225_eet1800,107760022994989546,2.299468,-0.192474,J2000,1800,4,L
obj226_eet1800,107730026231144887,2.623121,-0.221306,J2000,1800,9,L
obj227_eet1800,107770025335087663,2.533442,-0.185643,J2000,1800,9,L
obj228_eet1800,107540028663161515,2.866415,-0.382353,J2000,1800,1,L
obj229_eet1800,107600026780632979,2.678103,-0.331211,J2000,1800,1,L
obj230_eet1800,107700020024584361,2.002536,-0.24675,J2000,1800,4,L
obj231_eet1800,107740024219361444,2.421994,-0.215803,J2000,1800,8,L
obj232_eet1800,107770022516565938,2.251718,-0.187103,J2000,1800,6,L
obj233_eet1800,107780023491708799,2.3492,-0.17639,J2000,1800,9,L
obj234_eet1800,107770016326977351,1.632701,-0.186161,J2000,1800,5,L
obj235_eet1800,107740018002818487,1.800312,-0.20998,J2000,1800,8,L
obj236_eet1800,107740029823587579,2.982544,-0.210806,J2000,1800,5,L
obj237_eet1800,107720017286453205,1.728681,-0.230998,J2000,1800,3,L
obj238_eet1800,107910015941802325,1.594193,-0.073455,J2000,1800,3,L
obj239_eet1800,107870021071211597,2.107165,-0.107386,J2000,1800,9,L
obj240_eet1800,107870025958943347,2.595729,-0.105786,J2000,1800,9,L
obj241_eet1200,107880021320630755,2.132097,-0.099718,J2000,1200,1,L
obj242_eet1200,107850029642236206,2.964245,-0.120222,J2000,1200,1,L
obj243_eet1800,107790022204878898,2.220518,-0.167961,J2000,1800,3,L
obj244_eet1800,107830029872063729,2.987044,-0.139026,J2000,1800,4,L
obj245_eet1800,107860019871925262,1.987246,-0.112607,J2000,1800,6,L
obj246_eet1800,107580018160177502,1.815925,-0.343982,J2000,1800,4,L
obj247_eet1800,107580018337952837,1.833783,-0.348033,J2000,1800,3,L
obj248_eet1800,107940028397063966,2.839723,-0.047087,J2000,1800,1,L
obj249_eet1800,107810027058021902,2.705808,-0.157125,J2000,1800,5,L
obj250_eet1800,107880025040639064,2.504051,-0.092864,J2000,1800,7,L
obj251_eet1800,107820029462722935,2.946363,-0.147857,J2000,1800,2,L
obj252_eet1200,107840025845347491,2.584545,-0.12745,J2000,1200,4,L
obj253_eet1800,107650017447409838,1.744749,-0.283834,J2000,1800,7,L
obj254_eet1800,107860018412248029,1.841437,-0.110228,J2000,1800,3,L
obj255_eet1200,107830023389040875,2.338963,-0.141287,J2000,1200,8,L
obj256_eet1800,107830023497401224,2.349732,-0.14106,J2000,1800,3,L
obj257_eet1800,107850022018294572,2.201902,-0.121575,J2000,1800,4,L
obj258_eet1800,107850026067474460,2.606765,-0.121659,J2000,1800,7,L
obj259_eet1800,107870027005067281,2.70053,-0.102625,J2000,1800,5,L
obj260_eet1800,107840017114682856,1.711529,-0.13133,J2000,1800,6,L
obj261_eet1800,107870028771597878,2.877174,-0.102125,J2000,1800,6,L
obj262_eet1200,107690025256406487,2.525704,-0.253282,J2000,1200,4,L
obj263_eet1800,107610017177471225,1.717776,-0.324339,J2000,1800,9,L
obj264_eet1800,107920023916424716,2.391708,-0.063056,J2000,1800,7,L
obj265_eet1800,107840024310043623,2.431072,-0.130661,J2000,1800,2,L
obj266_eet1800,107750025871378587,2.58717,-0.201562,J2000,1800,5,L
obj267_eet1200,107510018020948556,1.802065,-0.401578,J2000,1200,7,L
obj268_eet1200,107890018968351234,1.896876,-0.091071,J2000,1200,4,L
obj269_eet1200,107820030220272497,3.021998,-0.148314,J2000,1200,6,L
obj270_eet1800,107850016486403450,1.64873,-0.122503,J2000,1800,3,L
obj271_eet1800,107720024677553834,2.467819,-0.230514,J2000,1800,6,L
obj272_eet1800,107750020593064724,2.059432,-0.204839,J2000,1800,2,L
obj273_eet1800,107750020597514588,2.059488,-0.204849,J2000,1800,7,L
obj274_eet1800,107720030054563723,3.005371,-0.230837,J2000,1800,9,L
obj275_eet1800,107890019147503923,1.914801,-0.088858,J2000,1800,6,L
obj276_eet1800,107840020479591845,2.047997,-0.132139,J2000,1800,5,L
obj277_eet1800,107840019625887106,1.962665,-0.127763,J2000,1800,5,L
obj278_eet1800,107900026529141566,2.652914,-0.08244,J2000,1800,5,L
obj279_eet1200,107700025395921706,2.539652,-0.248952,J2000,1200,3,L
obj280_eet1800,107870023996327126,2.399673,-0.102771,J2000,1800,6,L
obj281_eet1800,107920028628432339,2.862826,-0.064894,J2000,1800,2,L
obj282_eet1800,107730027465883851,2.746512,-0.222033,J2000,1800,5,L
obj283_eet1800,107820019348291510,1.934849,-0.149151,J2000,1800,6,L
obj284_eet1800,107890024882827468,2.488342,-0.085785,J2000,1800,1,L
obj285_eet1800,107890024560123337,2.456077,-0.08925,J2000,1800,8,L
obj286_eet1800,107910029239604178,2.923969,-0.07191,J2000,1800,3,L
obj287_eet1200,107700025045402835,2.504511,-0.247927,J2000,1200,9,L
obj288_eet1800,107810020539438434,2.054014,-0.151699,J2000,1800,3,L
obj289_eet1200,107760018565057417,1.85667,-0.194136,J2000,1200,1,L
obj290_eet1800,107750015650990969,1.565228,-0.207882,J2000,1800,5,L
obj291_eet1800,107870014964122681,1.496439,-0.106519,J2000,1800,1,L
obj292_eet1800,107760019309659052,1.930981,-0.19281,J2000,1800,4,L
obj293_eet1800,107550022046107639,2.204678,-0.369003,J2000,1800,5,L
obj294_eet1800,107910029901220824,2.990054,-0.074709,J2000,1800,4,L
obj295_eet1800,107950024931356045,2.492992,-0.036935,J2000,1800,8,L
obj296_eet1800,108100018492953226,1.849348,0.085617,J2000,1800,3,L
obj297_eet1800,108030029424015082,2.942435,0.028832,J2000,1800,9,L
obj298_eet1800,107840026896834442,2.68956,-0.129961,J2000,1800,6,L
obj299_eet1200,107980014546191312,1.454638,-0.015945,J2000,1200,5,L
obj300_eet1800,108020024965919706,2.496622,0.024395,J2000,1800,6,L
obj301_eet1800,107940026211129463,2.621135,-0.042493,J2000,1800,5,L
obj302_eet1800,107940026228330817,2.622773,-0.049712,J2000,1800,6,L
obj303_eet1800,107820023084033918,2.308457,-0.147012,J2000,1800,7,L
obj304_eet1800,107950022273318973,2.2274,-0.034616,J2000,1800,2,L
obj305_eet1800,107970014606112479,1.460577,-0.023287,J2000,1800,1,L
obj306_eet1800,107990026974829580,2.69744,-0.00068,J2000,1800,2,L
obj307_eet1800,107950024318485738,2.431879,-0.037246,J2000,1800,4,L
obj308_eet1200,107930027238813895,2.723872,-0.055448,J2000,1200,8,L
obj309_eet1800,108000025453866683,2.545649,0.005033,J2000,1800,2,L
obj310_eet1800,108000025456706325,2.545684,0.004953,J2000,1800,3,L
obj311_eet1200,107960016415858205,1.641605,-0.026912,J2000,1200,4,L
obj312_eet1800,107920030394396224,3.039452,-0.061842,J2000,1800,8,L
obj313_eet1200,107940026311938931,2.631172,-0.04288,J2000,1200,7,L
obj314_eet1800,108000026121960229,2.612151,-0.000199,J2000,1800,4,L
obj315_eet1800,107880021903364215,2.190362,-0.096762,J2000,1800,4,L
obj316_eet1800,107910023392803391,2.339315,-0.072544,J2000,1800,9,L
obj317_eet1800,107910023397925998,2.339839,-0.07035,J2000,1800,6,L
obj318_eet1800,107770021000174329,2.100109,-0.188443,J2000,1800,8,L
obj319_eet1800,107880014923260551,1.492392,-0.099919,J2000,1800,6,L
obj320_eet1800,107910022887482944,2.288822,-0.072938,J2000,1800,6,L
obj321_eet1800,107950029016790392,2.901778,-0.041786,J2000,1800,4,L
obj322_eet1200,107800024797110691,2.479757,-0.166458,J2000,1200,1,L
obj323_eet1200,107960026541807795,2.65418,-0.027176,J2000,1200,9,L
obj324_eet1800,107780020958564913,2.095924,-0.179628,J2000,1800,6,L
obj325_eet1800,107930028536223037,2.853687,-0.056192,J2000,1800,4,L
obj326_eet1800,107880029860406864,2.986057,-0.094624,J2000,1800,1,L
obj327_eet1200,107990028651328472,2.865146,-0.001656,J2000,1200,3,L
obj328_eet1800,108110016420157541,1.642008,0.097658,J2000,1800,8,L
obj329_eet1800,107890015483661238,1.548356,-0.091004,J2000,1800,4,L
obj330_eet1800,108030017221122438,1.722156,0.026602,J2000,1800,7,L
obj331_eet1800,107860028671448636,2.86716,-0.10985,J2000,1800,5,L
obj332_eet1800,107860028786977528,2.87872,-0.110772,J2000,1800,2,L
obj333_eet1800,107920024947073701,2.494753,-0.0638,J2000,1800,6,L
obj334_eet1800,107900020098163501,2.009866,-0.080842,J2000,1800,1,L
obj335_eet1800,108020021657715145,2.165838,0.02056,J2000,1800,9,L
obj336_eet1800,107900029909615834,2.990855,-0.078864,J2000,1800,3,L
obj337_eet1800,108110026785258818,2.678513,0.098684,J2000,1800,9,L
obj338_eet1800,107920025129989401,2.513068,-0.059185,J2000,1800,6,L
obj339_eet1800,108110016550236424,1.655097,0.096622,J2000,1800,9,L
obj340_eet1800,108130017779197883,1.777983,0.11442,J2000,1800,7,L
obj341_eet1200,108030015099665492,1.509982,0.029195,J2000,1200,5,L
obj342_eet1200,107880028834196578,2.883431,-0.094894,J2000,1200,8,L
obj343_eet1800,107750027357035497,2.735721,-0.204142,J2000,1800,3,L
obj344_eet1800,108010017252261651,1.725264,0.0093,J2000,1800,5,L
obj345_eet1800,108170022567015186,2.256852,0.145568,J2000,1800,9,L
obj346_eet1200,108040026002445417,2.600256,0.037478,J2000,1200,7,L
obj347_eet1800,108160026913498079,2.691333,0.139741,J2000,1800,5,L
obj348_eet1800,108070026794927604,2.679497,0.064348,J2000,1800,4,L
obj349_eet1200,108020021166232469,2.116676,0.018316,J2000,1200,9,L
obj350_eet1800,108060026262739770,2.626299,0.057775,J2000,1800,4,L
obj351_eet1200,108010018036388801,1.803684,0.015246,J2000,1200,7,L
obj352_eet1200,107700026376298286,2.637622,-0.243458,J2000,1200,9,L
obj353_eet1800,108060024029323589,2.402936,0.052507,J2000,1800,3,L
obj354_eet1800,108130026333938804,2.63341,0.115326,J2000,1800,9,L
obj355_eet1800,107890021929918816,2.193122,-0.084711,J2000,1800,1,L
obj356_eet1200,107910028260105164,2.82602,-0.071072,J2000,1200,4,L
obj357_eet1800,107690027625904654,2.762589,-0.254835,J2000,1800,9,L
obj358_eet1200,107860029900967798,2.990117,-0.110551,J2000,1200,3,L
obj359_eet1800,108000018023823006,1.802426,0.002049,J2000,1800,6,L
obj360_eet1800,108130026206108896,2.620608,0.115409,J2000,1800,8,L
obj361_eet1800,108030019469611065,1.947085,0.02547,J2000,1800,1,L
obj362_eet1200,107870017587346594,1.758794,-0.103325,J2000,1200,1,L
obj363_eet1800,107890027542444500,2.754324,-0.088412,J2000,1800,4,L
obj364_eet1800,108030020257800021,2.025757,0.024548,J2000,1800,9,L
obj365_eet1800,108040019291729990,1.929222,0.041252,J2000,1800,4,L
obj366_eet1200,107930022542638195,2.25427,-0.051859,J2000,1200,9,L
obj367_eet1800,108020018175737937,1.817706,0.022899,J2000,1800,9,L
