ob_code,ra,dec,equinox,priority,exptime,resolution,proposal_id,rank,grade
obj19_eet7200,242.819875,54.225369,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj20_eet1800,242.822231,54.225138,J2000.0,4.0,1800.0,L,S24B-QN017,8.0,a
obj21_eet1800,242.581741,54.256149,J2000.0,2.0,1800.0,L,S24B-QN017,8.0,a
obj22_eet1800,242.742674,54.242602,J2000.0,5.0,1800.0,L,S24B-QN017,8.0,a
obj23_eet7200,242.788235,54.247708,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj24_eet7200,242.789103,54.246921,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj25_eet7200,243.947502,54.251975,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj26_eet7200,243.293344,54.253202,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj27_eet7200,243.301746,54.25349,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj28_eet7200,243.310084,54.255255,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj29_eet7200,243.315387,54.253382,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj30_eet7200,242.518911,54.25358,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj31_eet1800,243.928456,54.248377,J2000.0,6.0,1800.0,L,S24B-QN017,8.0,a
obj32_eet7200,243.220527,54.247043,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj33_eet7200,243.233021,54.245543,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj34_eet7200,243.242174,54.242845,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj35_eet7200,243.899316,54.2366,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj36_eet7200,243.920998,54.238951,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj37_eet7200,242.291444,54.264823,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj38_eet7200,243.878526,54.250897,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj39_eet7200,243.190232,54.250652,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj40_eet1800,242.392777,54.254578,J2000.0,7.0,1800.0,L,S24B-QN017,8.0,a
obj41_eet7200,242.399042,54.250726,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj42_eet7200,242.416064,54.252611,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj43_eet7200,243.855581,54.243708,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj44_eet7200,242.490351,54.244202,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj45_eet7200,243.826264,54.253678,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj46_eet1800,243.121684,54.252924,J2000.0,4.0,1800.0,L,S24B-QN017,8.0,a
obj47_eet7200,243.179068,54.256176,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj48_eet1800,243.772717,54.242059,J2000.0,6.0,1800.0,L,S24B-QN017,8.0,a
obj49_eet7200,242.373676,54.244432,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj50_eet1800,242.395512,54.249015,J2000.0,3.0,1800.0,L,S24B-QN017,8.0,a
obj51_eet7200,242.197063,54.260045,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj52_eet7200,243.722411,54.255434,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj53_eet7200,242.99982,54.253509,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj54_eet7200,243.054587,54.254047,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj55_eet7200,243.654122,54.242404,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj56_eet7200,243.668017,54.24276,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj57_eet7200,243.038846,54.24625,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj58_eet7200,242.299421,54.242553,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj59_eet7200,243.667932,54.234536,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj60_eet7200,242.973759,54.25054,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj61_eet7200,242.880759,54.225947,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj62_eet7200,242.890392,54.230668,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj63_eet7200,242.204997,54.229973,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj64_eet7200,242.209023,54.226231,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj65_eet1800,242.223013,54.228402,J2000.0,6.0,1800.0,L,S24B-QN017,8.0,a
obj66_eet7200,243.409378,54.21658,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj67_eet7200,243.426555,54.220191,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj68_eet7200,243.474306,54.217988,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj69_eet7200,243.498128,54.222761,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj70_eet7200,243.49826,54.222646,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj71_eet7200,242.876215,54.217962,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj72_eet7200,242.156959,54.222637,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj73_eet7200,242.980253,54.236508,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj74_eet7200,243.628736,54.224497,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj75_eet7200,242.864587,54.239577,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj76_eet7200,242.876335,54.234636,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj77_eet7200,243.48085,54.245739,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj78_eet7200,242.85547,54.242673,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj79_eet1800,242.15417,54.240905,J2000.0,8.0,1800.0,L,S24B-QN017,8.0,a
obj80_eet7200,243.41625,54.229942,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj81_eet7200,243.435164,54.227098,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj82_eet7200,243.470695,54.229542,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj83_eet1800,243.06599,54.203878,J2000.0,8.0,1800.0,L,S24B-QN017,8.0,a
obj84_eet7200,243.25379,54.230528,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj85_eet7200,243.294005,54.232223,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj86_eet7200,243.768733,54.222683,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj87_eet1800,242.094833,54.241876,J2000.0,6.0,1800.0,L,S24B-QN017,8.0,a
obj88_eet7200,243.449791,54.234914,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj89_eet7200,243.392864,54.25126,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj90_eet1800,243.416291,54.253758,J2000.0,5.0,1800.0,L,S24B-QN017,8.0,a
obj91_eet7200,243.38362,54.224811,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj92_eet7200,242.558787,54.230644,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj93_eet7200,242.604014,54.226446,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj94_eet7200,243.746079,54.219864,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj95_eet7200,243.754688,54.224009,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj96_eet7200,243.130993,54.221278,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj97_eet7200,243.145024,54.223268,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj98_eet7200,243.160229,54.220413,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj99_eet7200,243.162715,54.217199,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj100_eet7200,242.47964,54.220432,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj101_eet1800,242.56016,54.222391,J2000.0,8.0,1800.0,L,S24B-QN017,8.0,a
obj102_eet7200,243.290256,54.234989,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj103_eet7200,243.131527,54.225221,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj104_eet7200,243.060792,54.218465,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj105_eet7200,242.700119,54.23488,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj106_eet1800,242.706866,54.240974,J2000.0,2.0,1800.0,L,S24B-QN017,8.0,a
obj107_eet7200,243.036974,54.232729,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj108_eet7200,242.36639,54.224963,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj109_eet1800,242.420931,54.230143,J2000.0,9.0,1800.0,L,S24B-QN017,8.0,a
obj110_eet7200,243.002613,54.217169,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj111_eet7200,243.023362,54.218112,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj112_eet7200,243.034295,54.216465,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj113_eet1800,242.288018,54.217485,J2000.0,3.0,1800.0,L,S24B-QN017,8.0,a
obj114_eet7200,243.143889,54.234728,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj115_eet7200,243.793947,54.2259,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj116_eet7200,243.578128,54.221276,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj117_eet7200,242.902985,54.220323,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj118_eet7200,242.953827,54.21855,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj119_eet7200,243.048297,54.239534,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj120_eet7200,242.518378,54.23469,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj121_eet7200,243.816675,54.194589,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj122_eet7200,243.299855,54.210015,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj123_eet7200,242.827976,54.214223,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj124_eet1800,242.838618,54.210665,J2000.0,5.0,1800.0,L,S24B-QN017,8.0,a
obj125_eet7200,242.841683,54.213043,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj126_eet7200,242.148727,54.214343,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj127_eet7200,242.659091,54.200221,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj128_eet1800,243.725393,54.194917,J2000.0,2.0,1800.0,L,S24B-QN017,8.0,a
obj129_eet1800,243.725388,54.194914,J2000.0,2.0,1800.0,L,S24B-QN017,8.0,a
obj130_eet7200,243.075341,54.195437,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj131_eet1800,242.535667,54.198633,J2000.0,4.0,1800.0,L,S24B-QN017,8.0,a
obj132_eet7200,242.551372,54.191863,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj133_eet7200,242.551617,54.198166,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj134_eet7200,242.56666,54.191197,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj135_eet7200,242.567037,54.191626,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj136_eet7200,243.630855,54.194666,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj137_eet7200,243.687415,54.192371,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj138_eet7200,243.695439,54.193086,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj139_eet7200,243.171982,54.214372,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj140_eet7200,243.188099,54.212719,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj141_eet7200,242.679128,54.207932,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj142_eet7200,243.75321,54.203339,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj143_eet7200,243.226884,54.175131,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj144_eet7200,243.853963,54.220871,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj145_eet7200,242.968013,54.196233,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj146_eet7200,242.358859,54.198282,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj147_eet7200,243.031476,54.210601,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj148_eet7200,243.060523,54.212333,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj149_eet7200,242.529055,54.209715,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj150_eet7200,242.59088,54.210027,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj151_eet7200,242.604569,54.210734,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj152_eet7200,243.186809,54.180031,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj153_eet7200,243.564138,54.20181,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj154_eet7200,243.213592,54.222883,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj155_eet7200,243.477996,54.194738,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj156_eet7200,243.700927,54.210924,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj157_eet7200,243.642538,54.215286,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj158_eet7200,243.325312,54.225087,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj159_eet7200,243.115569,54.179296,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj160_eet1800,242.926514,54.20552,J2000.0,9.0,1800.0,L,S24B-QN017,8.0,a
obj161_eet7200,242.943822,54.200837,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj162_eet7200,243.431022,54.19645,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj163_eet7200,243.431412,54.191218,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj164_eet7200,242.834703,54.194189,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj165_eet7200,242.838288,54.195617,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj166_eet7200,242.858189,54.198099,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj167_eet7200,242.869592,54.195292,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj168_eet7200,243.582959,54.212353,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj169_eet7200,242.986377,54.211618,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj170_eet7200,243.020555,54.213517,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj171_eet7200,243.411183,54.205626,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj172_eet7200,242.846074,54.203727,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj173_eet7200,242.856467,54.205465,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj174_eet7200,243.316261,54.197529,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj175_eet7200,243.339877,54.195577,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj176_eet7200,242.759574,54.193223,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj177_eet7200,243.516096,54.211651,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj178_eet7200,242.964974,54.210549,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj179_eet1800,242.968702,54.215701,J2000.0,7.0,1800.0,L,S24B-QN017,8.0,a
obj180_eet7200,242.358564,54.214687,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj181_eet7200,243.309905,54.206981,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj182_eet1800,243.3544,54.206734,J2000.0,8.0,1800.0,L,S24B-QN017,8.0,a
obj183_eet7200,242.12235,54.204185,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj184_eet7200,243.221039,54.198934,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj185_eet1800,243.223582,54.198022,J2000.0,9.0,1800.0,L,S24B-QN017,8.0,a
obj186_eet7200,243.240559,54.198782,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj187_eet7200,243.24108,54.197495,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj188_eet1800,243.255319,54.198763,J2000.0,4.0,1800.0,L,S24B-QN017,8.0,a
obj189_eet1800,243.255313,54.198761,J2000.0,5.0,1800.0,L,S24B-QN017,8.0,a
obj190_eet7200,243.394617,54.21357,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj191_eet7200,243.434557,54.211949,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj192_eet7200,243.453287,54.213615,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj193_eet1800,242.221125,54.215616,J2000.0,6.0,1800.0,L,S24B-QN017,8.0,a
obj194_eet7200,243.418841,54.181049,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj195_eet1800,242.177028,54.178902,J2000.0,6.0,1800.0,L,S24B-QN017,8.0,a
obj196_eet7200,243.072864,54.172697,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj197_eet7200,243.099226,54.166405,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj198_eet7200,243.753258,54.187168,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj199_eet7200,243.042597,54.167223,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj200_eet7200,243.04898,54.170352,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj201_eet1800,242.39669,54.167014,J2000.0,9.0,1800.0,L,S24B-QN017,8.0,a
obj202_eet7200,243.617982,54.190843,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj203_eet7200,243.00446,54.188814,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj204_eet7200,243.069954,54.190423,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj205_eet7200,242.380798,54.185706,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj206_eet7200,242.72682,54.176078,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj207_eet7200,243.579871,54.171932,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj208_eet7200,243.590838,54.168105,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj209_eet7200,243.635179,54.171096,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj210_eet7200,243.530763,54.190888,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj211_eet7200,242.870748,54.166294,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj212_eet7200,242.879517,54.170843,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj213_eet7200,242.960932,54.183097,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj214_eet7200,242.210083,54.185257,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj215_eet7200,242.212479,54.185423,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj216_eet7200,242.747875,54.15548,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj217_eet7200,242.538651,54.179548,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj218_eet7200,242.440484,54.206648,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj219_eet7200,243.342696,54.184747,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj220_eet7200,243.358737,54.189885,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj221_eet7200,243.378362,54.186405,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj222_eet7200,243.395771,54.186692,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj223_eet1800,243.405604,54.188701,J2000.0,4.0,1800.0,L,S24B-QN017,8.0,a
obj224_eet7200,243.410866,54.187268,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj225_eet7200,242.184191,54.188323,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj226_eet7200,242.585888,54.157526,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj227_eet7200,242.617046,54.149928,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj228_eet7200,242.941021,54.191718,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj229_eet7200,242.956614,54.19934,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj230_eet7200,242.264876,54.19144,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj231_eet7200,243.736535,54.179279,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj232_eet7200,242.344917,54.177719,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj233_eet7200,242.359128,54.178608,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj234_eet7200,243.322456,54.173918,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj235_eet7200,243.534658,54.178697,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj236_eet7200,242.872037,54.179223,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj237_eet7200,242.239384,54.174469,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj238_eet7200,242.610107,54.174053,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj239_eet7200,242.615036,54.167057,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj240_eet7200,242.636315,54.17244,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj241_eet7200,242.677795,54.173716,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj242_eet7200,243.171561,54.188667,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj243_eet7200,243.197448,54.18876,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj244_eet7200,242.607569,54.184248,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj245_eet7200,242.641799,54.187825,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj246_eet7200,242.931634,54.15538,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj247_eet7200,242.271888,54.150687,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj248_eet7200,243.232801,54.145653,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj249_eet1800,243.399937,54.159772,J2000.0,7.0,1800.0,L,S24B-QN017,8.0,a
obj250_eet7200,243.440813,54.161935,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj251_eet7200,242.870357,54.16548,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj252_eet7200,242.872592,54.16321,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj253_eet7200,243.66321,54.146223,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj254_eet7200,243.684953,54.142675,J2000.0,5.0,7200.0,L,S24B-QN017,8.0,a
obj255_eet7200,242.263648,54.152849,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj256_eet1800,242.538006,54.146398,J2000.0,1.0,1800.0,L,S24B-QN017,8.0,a
obj257_eet7200,243.266722,54.136047,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj258_eet7200,243.298702,54.133838,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj259_eet7200,243.335415,54.138579,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj260_eet7200,243.380413,54.160805,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj261_eet7200,242.803855,54.164356,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj262_eet7200,243.0733,54.144606,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj263_eet1800,243.096796,54.145113,J2000.0,1.0,1800.0,L,S24B-QN017,8.0,a
obj264_eet1800,242.389141,54.146975,J2000.0,7.0,1800.0,L,S24B-QN017,8.0,a
obj265_eet7200,242.479159,54.145826,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj266_eet7200,243.225364,54.159226,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj267_eet7200,242.718638,54.16282,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj268_eet7200,243.57026,54.14392,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj269_eet7200,243.034463,54.142606,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj270_eet7200,242.350168,54.148067,J2000.0,8.0,7200.0,L,S24B-QN017,8.0,a
obj271_eet7200,243.156426,54.163202,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj272_eet1800,243.117222,54.123238,J2000.0,6.0,1800.0,L,S24B-QN017,8.0,a
obj273_eet1800,243.484962,54.145493,J2000.0,4.0,1800.0,L,S24B-QN017,8.0,a
obj274_eet7200,243.487365,54.141705,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj275_eet7200,243.521534,54.149325,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj276_eet7200,243.653149,54.139465,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj277_eet7200,243.124353,54.138013,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
